"","race","ST","POVPIP2","NATIVITY2","ESR2","SCHL2","house_ten","AGEP","VALP","RNTP","FINCP"
"1",1,"01",0.0219408332746213,0.0114021957364471,0.0218770700895164,0.59611532634746,0.803896324209819,51,245000,NA,103000
"2",2,"01",0.0267612059824797,0.00801570597663034,0.0549645371214289,0.492424057114963,0.594953200060833,45,285000,NA,81000
"3",3,"01",0.0318825184462117,0.517563377451121,0.0305905658752261,0.401237403462433,0.588182940484052,38,4e+05,NA,77500
"4",4,"01",0.0291200204127197,0.254696520269193,0.0376997416515166,0.633246154009717,0.719973633570419,43,3e+05,NA,108000
"5",1,"02",0.0161742492715613,0.028870988991461,0.0310340918491466,0.714136459313138,0.771636390375724,47,4e+05,NA,151920
"6",2,"02",0.0155801263641585,0.0872343480758185,0.0328834003446295,0.562679494543366,0.390580126364159,40,NA,2200,144400
"7",3,"02",0.00171821305841924,0.277106292214717,0.022159023580993,0.53362365209148,0.515167673895011,39,NA,NA,120400
"8",4,"02",0.00991959903936515,0.235714472172914,0.0652409418398246,0.474672392189621,0.700232327451185,40,385000,NA,106600
"9",1,"04",0.0169349352073445,0.0454818028286256,0.0264161937616559,0.72911403347287,0.765286824559578,54,450000,NA,133100
"10",2,"04",0.0272180139980928,0.131340074488566,0.0465823422515698,0.694061606002267,0.470735349682434,40,NA,NA,110020
"11",3,"04",0.0253449200621473,0.337469562173746,0.0444864411602509,0.447330284724303,0.646138078822324,39,4e+05,NA,82400
"12",4,"04",0.0399733101702927,0.278666395900278,0.0484563756098643,0.654902549697862,0.666117739009643,42,5e+05,NA,110000
"13",1,"05",0.0223737754943678,0.00948939275988938,0.0277464234805908,0.570312193230837,0.765847285909015,51,225000,NA,98000
"14",2,"05",0.0276239500785307,0.00695557730641285,0.0585029412434192,0.503822478318695,0.506027191462102,44,NA,NA,78000
"15",3,"05",0.0294174159052812,0.529665873809887,0.0346780979387932,0.300236531925184,0.598293259833964,36,274000,NA,69200
"16",4,"05",0.0271201936004302,0.188760419467599,0.0280720623823608,0.486308147351439,0.628136595859102,41,325000,NA,94200
"17",1,"06",0.0204613178827387,0.116967527528568,0.0475342385282556,0.770929395355527,0.676298292921524,52,1008000,NA,182000
"18",2,"06",0.0285136913441735,0.0916791417569023,0.0802740532134,0.667302761548485,0.434775917202045,45,NA,3500,145000
"19",3,"06",0.0240486397526629,0.441073830450772,0.0574211395384927,0.427185842490647,0.505927563867638,40,NA,NA,92600
"20",4,"06",0.0260730895657238,0.603361035765247,0.0493918615958722,0.744780037962166,0.642924633393867,45,1200000,NA,155000
