"","race","ST","VALP","RNTP","FINCP"
"1.01",1,"01",240000,NA,125000
"2.01",2,"01",385000,NA,104700
"3.01",3,"01",8e+05,NA,82700
"4.01",4,"01",3e+05,NA,125000
"1.02",1,"02",4e+05,NA,181650
"2.02",2,"02",NA,1700,122800
"3.02",3,"02",NA,NA,152400
"4.02",4,"02",375000,NA,114000
"1.04",1,"04",450000,NA,165200
"2.04",2,"04",NA,1600,128120
"3.04",3,"04",422000,NA,84300
"4.04",4,"04",550000,NA,139000
"1.05",1,"05",220000,NA,116000
"2.05",2,"05",NA,1100,102000
"3.05",3,"05",360000,NA,63500
"4.05",4,"05",350000,NA,99400
"1.06",1,"06",1100000,NA,240000
"2.06",2,"06",NA,2000,199900
"3.06",3,"06",NA,2700,90300
"4.06",4,"06",1450000,NA,185000
"1.08",1,"08",6e+05,NA,202000
"2.08",2,"08",NA,2000,175000
"3.08",3,"08",650000,NA,101900
"4.08",4,"08",7e+05,NA,170000
"1.09",1,"09",390000,NA,213000
"2.09",2,"09",NA,1600,133000
"3.09",3,"09",NA,1600,97700
"4.09",4,"09",6e+05,NA,180000
"1.10",1,"10",350000,NA,157000
"2.10",2,"10",490000,NA,126000
"3.10",3,"10",450000,NA,78000
"4.10",4,"10",475000,NA,154100
"1.11",1,"11",3855000,NA,NA
"2.11",2,"11",NA,1500,NA
"3.11",3,"11",NA,2400,1831000
"4.11",4,"11",NA,2600,NA
"1.12",1,"12",350000,NA,165400
"2.12",2,"12",NA,NA,101700
"3.12",3,"12",6e+05,NA,90000
"4.12",4,"12",450000,NA,127000
"1.13",1,"13",325000,NA,145300
"2.13",2,"13",950000,NA,115780
"3.13",3,"13",5e+05,NA,82000
"4.13",4,"13",450000,NA,135000
"1.15",1,"15",1300000,NA,2e+05
"2.15",2,"15",NA,2800,156100
"3.15",3,"15",NA,3800,127100
"4.15",4,"15",9e+05,NA,148000
"1.16",1,"16",450000,NA,119000
"2.16",2,"16",NA,980,159000
"3.16",3,"16",5e+05,NA,80000
"4.16",4,"16",5e+05,NA,97000
"1.17",1,"17",3e+05,NA,184000
"2.17",2,"17",NA,1400,160400
"3.17",3,"17",393000,NA,90000
"4.17",4,"17",450000,NA,166200
"1.18",1,"18",230000,NA,131900
"2.18",2,"18",NA,1000,124000
"3.18",3,"18",3e+05,NA,84800
"4.18",4,"18",3e+05,NA,139700
"1.19",1,"19",225000,NA,145000
"2.19",2,"19",NA,850,103000
"3.19",3,"19",320000,NA,92150
"4.19",4,"19",350000,NA,178400
"1.20",1,"20",275000,NA,141000
"2.20",2,"20",NA,1100,180300
"3.20",3,"20",310000,NA,75000
"4.20",4,"20",525000,NA,130900
"1.21",1,"21",240000,NA,120000
"2.21",2,"21",NA,980,105000
"3.21",3,"21",NA,1000,81000
"4.21",4,"21",5e+05,NA,105000
"1.22",1,"22",250000,NA,135000
"2.22",2,"22",NA,NA,98000
"3.22",3,"22",4e+05,NA,105800
"4.22",4,"22",315000,NA,111000
"1.23",1,"23",3e+05,NA,144000
"2.23",2,"23",NA,1300,159700
"3.23",3,"23",350000,NA,125000
"4.23",4,"23",425000,NA,192000
"1.24",1,"24",450000,NA,205000
"2.24",2,"24",750000,NA,170000
"3.24",3,"24",6e+05,NA,108100
"4.24",4,"24",6e+05,NA,174500
"1.25",1,"25",611000,NA,235920
"2.25",2,"25",NA,1900,155000
"3.25",3,"25",NA,1500,108000
"4.25",4,"25",1300000,NA,188000
"1.26",1,"26",250000,NA,140200
"2.26",2,"26",NA,1300,138000
"3.26",3,"26",280000,NA,99000
"4.26",4,"26",4e+05,NA,159500
"1.27",1,"27",330000,NA,173000
"2.27",2,"27",NA,1200,122320
"3.27",3,"27",4e+05,NA,103090
"4.27",4,"27",420000,NA,150000
"1.28",1,"28",190000,NA,118000
"2.28",2,"28",345000,NA,81700
"3.28",3,"28",NA,NA,54800
"4.28",4,"28",250000,NA,117800
"1.29",1,"29",260000,NA,140000
"2.29",2,"29",NA,1100,140000
"3.29",3,"29",475000,NA,95400
"4.29",4,"29",382000,NA,150000
"1.30",1,"30",450000,NA,151800
"2.30",2,"30",5e+05,NA,NA
"3.30",3,"30",650000,NA,121830
"4.30",4,"30",450000,NA,124800
"1.31",1,"31",275000,NA,152000
"2.31",2,"31",NA,1000,135000
"3.31",3,"31",3e+05,NA,86000
"4.31",4,"31",1963000,NA,150000
"1.32",1,"32",5e+05,NA,175000
"2.32",2,"32",NA,1400,165000
"3.32",3,"32",837000,NA,81400
"4.32",4,"32",6e+05,NA,130000
"1.33",1,"33",4e+05,NA,165000
"2.33",2,"33",NA,1200,89400
"3.33",3,"33",550000,NA,126000
"4.33",4,"33",550000,NA,150000
"1.34",1,"34",465000,NA,200500
"2.34",2,"34",NA,1800,155000
"3.34",3,"34",NA,1700,98580
"4.34",4,"34",7e+05,NA,186000
"1.35",1,"35",325000,NA,182900
"2.35",2,"35",NA,1200,144200
"3.35",3,"35",280000,NA,100500
"4.35",4,"35",280000,NA,1e+05
"1.36",1,"36",550000,NA,230000
"2.36",2,"36",NA,1600,145000
"3.36",3,"36",NA,1600,109000
"4.36",4,"36",2e+06,NA,152000
"1.37",1,"37",320000,NA,144200
"2.37",2,"37",NA,1900,126000
"3.37",3,"37",691000,NA,68900
"4.37",4,"37",450000,NA,144000
"1.38",1,"38",3e+05,NA,154500
"2.38",2,"38",NA,950,NA
"3.38",3,"38",NA,1100,102120
"4.38",4,"38",NA,NA,148200
"1.39",1,"39",250000,NA,144400
"2.39",2,"39",NA,950,142200
"3.39",3,"39",NA,2000,115000
"4.39",4,"39",431000,NA,142300
"1.40",1,"40",250000,NA,129000
"2.40",2,"40",NA,920,115500
"3.40",3,"40",375000,NA,75800
"4.40",4,"40",275000,NA,106000
"1.41",1,"41",550000,NA,168000
"2.41",2,"41",NA,1800,120000
"3.41",3,"41",NA,NA,1e+05
"4.41",4,"41",7e+05,NA,160250
"1.42",1,"42",290000,NA,158000
"2.42",2,"42",NA,1500,142300
"3.42",3,"42",NA,4000,87600
"4.42",4,"42",450000,NA,152000
"1.44",1,"44",450000,NA,2e+05
"2.44",2,"44",NA,1200,160430
"3.44",3,"44",NA,1200,78500
"4.44",4,"44",750000,NA,141000
"1.45",1,"45",280000,NA,132000
"2.45",2,"45",370000,NA,98000
"3.45",3,"45",385000,NA,78000
"4.45",4,"45",360000,NA,115000
"1.46",1,"46",295000,NA,143000
"2.46",2,"46",NA,800,50200
"3.46",3,"46",NA,1000,174200
"4.46",4,"46",NA,1600,94000
"1.47",1,"47",3e+05,NA,130000
"2.47",2,"47",NA,1400,125100
"3.47",3,"47",NA,1800,79400
"4.47",4,"47",5e+05,NA,122200
"1.48",1,"48",375000,NA,166400
"2.48",2,"48",NA,1500,136000
"3.48",3,"48",325000,NA,80000
"4.48",4,"48",5e+05,NA,154700
"1.49",1,"49",5e+05,NA,132000
"2.49",2,"49",NA,1200,86800
"3.49",3,"49",550000,NA,91700
"4.49",4,"49",625000,NA,128000
"1.50",1,"50",350000,NA,165000
"2.50",2,"50",NA,1600,78700
"3.50",3,"50",393000,NA,171000
"4.50",4,"50",7e+05,NA,112000
"1.51",1,"51",430000,NA,185000
"2.51",2,"51",NA,NA,150310
"3.51",3,"51",825000,NA,110600
"4.51",4,"51",625000,NA,168500
"1.53",1,"53",670000,NA,184000
"2.53",2,"53",NA,1900,150200
"3.53",3,"53",NA,3300,90000
"4.53",4,"53",1e+06,NA,2e+05
"1.54",1,"54",179000,NA,112900
"2.54",2,"54",NA,NA,111400
"3.54",3,"54",250000,NA,92000
"4.54",4,"54",215000,NA,110000
"1.55",1,"55",3e+05,NA,150000
"2.55",2,"55",NA,900,116000
"3.55",3,"55",NA,1200,88000
"4.55",4,"55",5e+05,NA,136740
"1.56",1,"56",325000,NA,146000
"2.56",2,"56",NA,730,60000
"3.56",3,"56",NA,3400,84800
"4.56",4,"56",4e+05,NA,118600
